"Requirement ID","Requirement","Risks","Test cases","Defects","Coverage status"
"REQ-001","Авторизация и роли customer, support_agent, admin","RISK-001; RISK-002","WEB-010; WEB-023; WEB-036; MOB-010; API-010; API-023; E2E-010","none","covered"
"REQ-002","Поиск бронирования по PNR и фамилии","RISK-001; RISK-002","WEB-011; WEB-024; WEB-037; MOB-011; API-011; API-024; E2E-011","BUG-008; BUG-011","covered"
"REQ-003","Просмотр пассажиров, рейсов и статуса бронирования","RISK-001; RISK-002","WEB-012; WEB-025; WEB-038; MOB-012; API-012; API-025; E2E-012","none","covered"
"REQ-004","Изменение email и телефона с серверной валидацией","RISK-001; RISK-002","WEB-013; WEB-026; MOB-013; API-013; API-026","BUG-001; BUG-009","covered"
"REQ-005","Добавление багажа с расчетом стоимости","RISK-001; RISK-002","WEB-001; WEB-014; WEB-027; MOB-001; MOB-014; API-001; API-014; API-027; E2E-001","BUG-002; BUG-012","covered"
"REQ-006","Создание запроса на возврат и просмотр статуса","RISK-001; RISK-002","WEB-002; WEB-015; WEB-028; MOB-002; MOB-015; API-002; API-015; API-028; E2E-002","BUG-003","covered"
"REQ-007","База знаний с поиском по статьям","RISK-001; RISK-002","WEB-003; WEB-016; WEB-029; MOB-003; MOB-016; API-003; API-016; E2E-003","BUG-005","covered"
"REQ-008","Создание обращения в поддержку и история обращений","RISK-001; RISK-002","WEB-004; WEB-017; WEB-030; MOB-004; MOB-017; API-004; API-017; E2E-004","BUG-004; BUG-010; BUG-014","covered"
"REQ-009","Admin-доступ к списку пользователей","RISK-001; RISK-002","WEB-005; WEB-018; WEB-031; MOB-005; MOB-018; API-005; API-018; E2E-005","BUG-006; BUG-015","covered"
"REQ-010","Журнал аудита основных изменений","RISK-003; RISK-004","WEB-006; WEB-019; WEB-032; MOB-006; MOB-019; API-006; API-019; E2E-006","BUG-007","covered"
"REQ-011","Loading, empty, success и error states в Web","RISK-001; RISK-002","WEB-007; WEB-020; WEB-033; MOB-007; MOB-020; API-007; API-020; E2E-007","BUG-013","covered"
"REQ-012","Mobile offline, loading и error states","RISK-001; RISK-002","WEB-008; WEB-021; WEB-034; MOB-008; MOB-021; API-008; API-021; E2E-008","none","covered"
"REQ-013","Доступность базовых Web-сценариев","RISK-001; RISK-002","WEB-009; WEB-022; WEB-035; MOB-009; MOB-022; API-009; API-022; E2E-009","none","covered"
